[0.8872141],[0.8678295],[-0.38198285],[0.61592718],[-0.56381346],[1.00465781],[-0.52045762]
[-0.44610353],[0.73460469],[-0.38660575],[-0.5741337],[-0.11947809],[-0.38839112],[-0.43378529]
[-0.19017968],[0.36542834],[0.378496],[0.54059967],[-0.34360735],[0.97402764],[-0.52820235]
[0.28395279],[0.35432023],[-0.58276942],[-1.09765163],[0.10845204],[-0.89659038],[0.24153592]
[-0.89622112],[1.11259629],[-0.60516802],[0.13525849],[-0.28934792],[0.96001262],[-1.07410526]
[-1.05935412],[1.49762155],[0.9483176],[-0.03311101],[-0.55590927],[-0.54768099],[-0.50217912]
[-0.12228081],[1.19949648],[-0.59753324],[-0.17202097],[-0.33483143],[0.86974781],[0.07589928]
[-0.12446643],[1.45316343],[-0.49785171],[0.08820725],[-0.53850872],[-0.20381968],[0.65816202]
[-0.27374566],[1.10475109],[-0.49635997],[0.23471565],[0.09322081],[0.53935789],[0.48493708]
[-0.62491606],[1.24754665],[-0.69197353],[0.08162912],[-0.062244],[-0.72489268],[-1.15739473]
[-0.61648447],[1.71124399],[0.12368828],[-0.42373595],[0.05097275],[0.70911377],[-0.53181195]
[0.24461647],[1.06537136],[-0.81314466],[-0.57426051],[0.09116958],[-0.60676855],[0.45416998]
[0.13709987],[0.57017338],[0.27735087],[-0.035873],[-0.07683796],[0.91729552],[-0.52549017]
[-0.50398396],[0.88174126],[0.59044091],[0.3115998],[-0.15257272],[-0.13553911],[0.19562456]
[-0.21453859],[0.99470988],[-1.10386227],[0.00220811],[-0.47333248],[0.85982279],[-0.36680078]
[-1.04675892],[0.52181489],[0.36959437],[-0.14506148],[-1.10655951],[-0.89145488],[-0.2253149]
[0.57684752],[1.05293322],[-0.44036813],[-0.09931317],[-0.41113064],[0.61235406],[0.73081265]
[0.35855757],[0.79236255],[-0.56734182],[-0.29792057],[-0.26505002],[-0.3634972],[-0.34733021]
[-1.11608006],[0.509744],[-0.46605462],[-0.19478703],[0.12231521],[0.73988099],[0.26635873]
